location,event_name,start_datetime,end_datetime
Astoria,Concrete Music,11/10/2018 22:00,12/10/2018 02:00
Astoria,Concrete Music,18/10/2018 22:00,19/10/2018 02:00
Astoria,Concrete Music,25/10/2018 22:00,26/10/2018 02:00
Astoria,Concrete Music,01/11/2018 22:00,02/11/2018 02:00
Astoria,Concrete Music,08/11/2018 22:00,09/11/2018 02:00
Astoria,Concrete Music,15/11/2018 22:00,16/11/2018 02:00
Astoria,Concrete Music,22/11/2018 22:00,23/11/2018 02:00
Astoria,Concrete Music,29/11/2018 22:00,30/11/2018 02:00
Astoria,Concrete Music,06/12/2018 22:00,07/12/2018 02:00
Astoria,Concrete Music,13/12/2018 22:00,14/12/2018 02:00
Astoria,Concrete Music,20/12/2018 22:00,21/12/2018 02:00
Astoria,Concrete Music,27/12/2018 22:00,28/12/2018 02:00
Astoria,Concrete Music,03/01/2019 22:00,04/01/2019 02:00
Astoria,Concrete Music,10/01/2019 22:00,11/01/2019 02:00
Astoria,Concrete Music,17/01/2019 22:00,18/01/2019 02:00
Astoria,Concrete Music,24/01/2019 22:00,25/01/2019 02:00
Astoria,Concrete Music,31/01/2019 22:00,01/02/2019 02:00
Astoria,Concrete Music,07/02/2019 22:00,08/02/2019 02:00
Astoria,Concrete Music,14/02/2019 22:00,15/02/2019 02:00
Astoria,Concrete Music,21/02/2019 22:00,22/02/2019 02:00
Astoria,Concrete Music,28/02/2019 22:00,01/03/2019 02:00
Astoria,Concrete Music,07/03/2019 22:00,08/03/2019 02:00
Astoria,Concrete Music,14/03/2019 22:00,15/03/2019 02:00
Astoria,Concrete Music,21/03/2019 22:00,22/03/2019 02:00
Astoria,Concrete Music,28/03/2019 22:00,29/03/2019 02:00
Astoria,Concrete Music,04/04/2019 22:00,05/04/2019 02:00
Astoria,Concrete Music,11/04/2019 22:00,12/04/2019 02:00
Astoria,Concrete Music,18/04/2019 22:00,19/04/2019 02:00
Astoria,Concrete Music,25/04/2019 22:00,26/04/2019 02:00
Astoria,Concrete Music,02/05/2019 22:00,03/05/2019 02:00
Astoria,Concrete Music,09/05/2019 22:00,10/05/2019 02:00
Astoria,Concrete Music,16/05/2019 22:00,17/05/2019 02:00
Astoria,Concrete Music,23/05/2019 22:00,24/05/2019 02:00
Astoria,Concrete Music,30/05/2019 22:00,31/05/2019 02:00
Astoria,Concrete Music,06/06/2019 22:00,07/06/2019 02:00
Astoria,Eskimo Project,28/09/2018 22:00,29/09/2018 02:00
Astoria,Eskimo Project,05/10/2018 22:00,06/10/2018 02:00
Astoria,Eskimo Project,12/10/2018 22:00,13/10/2018 02:00
Astoria,Eskimo Project,19/10/2018 22:00,20/10/2018 02:00
Astoria,Eskimo Project,26/10/2018 22:00,27/10/2018 02:00
Astoria,Eskimo Project,02/11/2018 22:00,03/11/2018 02:00
Astoria,Eskimo Project,09/11/2018 22:00,10/11/2018 02:00
Astoria,Eskimo Project,16/11/2018 22:00,17/11/2018 02:00
Astoria,Eskimo Project,23/11/2018 22:00,24/11/2018 02:00
Astoria,Eskimo Project,30/11/2018 22:00,01/12/2018 02:00
Astoria,Eskimo Project,07/12/2018 22:00,08/12/2018 02:00
Astoria,Eskimo Project,14/12/2018 22:00,15/12/2018 02:00
Astoria,Eskimo Project,21/12/2018 22:00,22/12/2018 02:00
Astoria,Eskimo Project,28/12/2018 22:00,29/12/2018 02:00
Astoria,Eskimo Project,04/01/2019 22:00,05/01/2019 02:00
Astoria,Eskimo Project,11/01/2019 22:00,12/01/2019 02:00
Astoria,Eskimo Project,18/01/2019 22:00,19/01/2019 02:00
Astoria,Eskimo Project,25/01/2019 22:00,26/01/2019 02:00
Astoria,Eskimo Project,01/02/2019 22:00,02/02/2019 02:00
Astoria,Eskimo Project,08/02/2019 22:00,09/02/2019 02:00
Astoria,Eskimo Project,15/02/2019 22:00,16/02/2019 02:00
Astoria,Eskimo Project,22/02/2019 22:00,23/02/2019 02:00
Astoria,Eskimo Project,01/03/2019 22:00,02/03/2019 02:00
Astoria,Eskimo Project,08/03/2019 22:00,09/03/2019 02:00
Astoria,Eskimo Project,15/03/2019 22:00,16/03/2019 02:00
