attended,week_no,student_id,unit_id
0,1,UP914294,U20749
0,1,UP861532,U20768
0,1,UP823565,U20768
0,1,UP903024,U21259
0,1,UP890112,U21259
0,1,UP898807,U21259
0,1,UP894248,U21259
0,1,UP885638,U21259
0,1,UP918897,U21259
0,1,UP899670,U21259
0,1,UP879016,U21259
0,1,UP903749,U21259
0,1,UP853640,U21259
0,1,UP879792,U21259
0,1,UP911248,U21259
0,1,UP852632,U21259
0,1,UP896129,U21259
0,1,UP896522,U21259
0,1,UP904274,U21259
0,1,UP786997,U21259
0,1,UP892802,U21259
0,1,UP859011,U21259
0,1,UP906558,U21259
0,1,UP899590,U21259
0,1,UP889823,U21259
0,1,UP900337,U21259
0,1,UP881056,U21259
0,1,UP783374,U21259
0,1,UP907723,U21259
0,1,UP890294,U21259
0,1,UP804697,U21259
0,1,UP916909,U21259
0,1,UP876210,U21259
0,1,UP855877,U21259
0,1,UP897561,U21259
0,1,UP825571,U21259
0,1,UP898707,U21259
0,1,UP669442,U21259
0,1,UP904935,U21259
0,1,UP896106,U21259
0,1,UP816963,U21259
0,1,UP893940,U21259
0,1,UP891973,U21259
0,1,UP845706,U21259
0,1,UP891556,U21259
0,1,UP902949,U21259
0,1,UP890760,U21259
0,1,UP901242,U21259
0,1,UP885121,U21259
0,1,UP915976,U21259
0,1,UP900418,U21259
0,1,UP885140,U21259
0,1,UP919983,U21259
0,1,UP865658,U21259
0,1,UP883442,U21259
0,1,UP886833,U21259
0,1,UP898888,U21259
0,1,UP859054,U21259
0,1,UP901100,U21259
0,1,UP908456,U21259
0,1,UP895502,U21259
0,1,UP861334,U21259
0,1,UP902059,U21259
0,1,UP905851,U21259
0,1,UP833998,U21259
0,1,UP895249,U21259
0,1,UP894039,U21259
0,1,UP893748,U21259
0,1,UP902377,U21259
0,1,UP888495,U21259
0,1,UP905970,U21259
0,1,UP889557,U21259
0,1,UP893788,U21259
0,1,UP885571,U21259
0,1,UP900993,U21259
0,1,UP899549,U21259
0,1,UP878921,U21259
0,1,UP903492,U21259
0,1,UP909201,U21259
0,1,UP885188,U21259
0,1,UP850149,U21259
0,1,UP896088,U21259
0,1,UP896900,U21259
0,1,UP896287,U21259
0,1,UP904254,U21259
0,1,UP905352,U21259
0,1,UP892655,U21259
0,1,UP899044,U21259
0,1,UP889518,U21259
0,1,UP900264,U21259
0,1,UP880665,U21259
0,1,UP905969,U21259
0,1,UP886790,U21259
0,1,UP919029,U21259
0,1,UP800002,U21259
0,1,UP916282,U21259
0,1,UP866825,U21259
0,1,UP855611,U21259
0,1,UP897167,U21259
0,1,UP773284,U21259
0,1,UP898126,U21259
0,1,UP888193,U21259
0,1,UP904825,U21259
0,1,UP896030,U21259
0,1,UP816296,U21259
0,1,UP893929,U21259
0,1,UP891226,U21259
0,1,UP884575,U21259
0,1,UP893057,U21259
0,1,UP896435,U21259
0,1,UP887818,U21259
0,1,UP901597,U21259
0,1,UP890098,U21259
0,1,UP900947,U21259
0,1,UP884815,U21259
0,1,UP914354,U21259
0,1,UP899908,U21259
0,1,UP901838,U21259
0,1,UP918906,U21259
0,1,UP854076,U21259
0,1,UP902229,U21259
0,1,UP881046,U21259
0,1,UP898862,U21259
0,1,UP917251,U21259
0,1,UP857429,U21259
0,1,UP899929,U21259
0,1,UP892093,U21259
0,1,UP881340,U21259
0,1,UP905446,U21259
0,1,UP827531,U21259
0,1,UP895221,U21259
0,1,UP893573,U21259
0,1,UP892405,U21259
0,1,UP902236,U21259
0,1,UP888395,U21259
0,1,UP893327,U21259
0,1,UP888470,U21259
0,1,UP890493,U21259
0,1,UP885480,U21259
0,1,UP898782,U21259
0,1,UP899526,U21259
0,1,UP878283,U21259
0,1,UP902046,U21259
0,1,UP918383,U21259
0,1,UP909132,U21259
0,1,UP882487,U21259
0,1,UP849028,U21259
0,1,UP895989,U21259
0,1,UP896020,U21259
0,1,UP900426,U21259
0,1,UP904082,U21259
0,1,UP902282,U21259
0,1,UP905008,U21259
0,1,UP898069,U21259
0,1,UP896763,U21259
0,1,UP887875,U21259
0,1,UP900217,U21259
0,1,UP885355,U21259
0,1,UP880140,U21259
0,1,UP903981,U21259
0,1,UP885417,U21259
0,1,UP905276,U21259
0,1,UP915469,U21259
0,1,UP855232,U21259
0,1,UP896919,U21259
0,1,UP734426,U21259
0,1,UP897828,U21259
0,1,UP911168,U21259
0,1,UP904749,U21259
0,1,UP893324,U21259
0,1,UP815963,U21259
0,1,UP893572,U21259
0,1,UP891153,U21259
0,1,UP894455,U21259
0,1,UP880004,U21259
0,1,UP901407,U21259
0,1,UP890097,U21259
0,1,UP900750,U21259
0,1,UP883852,U21259
0,1,UP913045,U21259
0,1,UP898548,U21259
0,1,UP700478,U21259
0,1,UP896391,U21259
0,1,UP918289,U21259
0,1,UP849245,U21259
0,1,UP879542,U21259
0,1,UP898356,U21259
0,1,UP904949,U21259
0,1,UP850730,U21259
0,1,UP899251,U21259
0,1,UP881292,U21259
0,1,UP897821,U21259
0,1,UP905189,U21259
0,1,UP822200,U21259
0,1,UP880589,U21259
0,1,UP894923,U21259
0,1,UP892527,U21259
0,1,UP901155,U21259
0,1,UP904277,U21259
0,1,UP891884,U21259
0,1,UP902165,U21259
0,1,UP886526,U21259
0,1,UP867587,U21259
0,1,UP861737,U21259
0,1,UP888588,U21259
0,1,UP884825,U21259
0,1,UP897830,U21259
0,1,UP899413,U21259
0,1,UP873521,U21259
0,1,UP901354,U21259
0,1,UP918968,U21259
0,1,UP908042,U21259
0,1,UP881889,U21259
0,1,UP846201,U21259
0,1,UP895937,U21259
0,1,UP895766,U21259
0,1,UP862031,U21259
0,1,UP904007,U21259
0,1,UP900263,U21259
0,1,UP896145,U21259
0,1,UP887192,U21259
0,1,UP899999,U21259
0,1,UP879811,U21259
0,1,UP903868,U21259
0,1,UP885261,U21259
0,1,UP901476,U21259
0,1,UP914732,U21259
0,1,UP854931,U21259
0,1,UP896605,U21259
0,1,UP886096,U21259
0,1,UP896958,U21259
0,1,UP901126,U21259
0,1,UP919739,U21259
0,1,UP904731,U21259
0,1,UP891439,U21259
0,1,UP811440,U21259
0,1,UP893038,U21259
0,1,UP890986,U21259
0,1,UP900479,U21259
0,1,UP890078,U21259
0,1,UP900424,U21259
0,1,UP882734,U21259
0,1,UP900921,U21259
0,1,UP912255,U21259
0,1,UP892538,U21259
0,1,UP891350,U21259
0,1,UP917725,U21259
0,1,UP866214,U21259
0,1,UP897905,U21259
0,1,UP887062,U21259
0,1,UP847948,U21259
0,1,UP899244,U21259
0,1,UP877281,U21259
0,1,UP887397,U21259
0,1,UP904965,U21259
0,1,UP900419,U21259
0,1,UP821488,U21259
0,1,UP894547,U21259
0,1,UP892525,U21259
0,1,UP877496,U21259
0,1,UP900939,U21259
0,1,UP904234,U21259
0,1,UP891768,U21259
0,1,UP901378,U21259
0,1,UP885709,U21259
0,1,UP908383,U21259
0,1,UP901253,U21259
0,1,UP882836,U21259
0,1,UP884392,U21259
0,1,UP891791,U21259
0,1,UP899210,U21259
0,1,UP870699,U21259
0,1,UP901347,U21259
0,1,UP894808,U21259
0,1,UP905968,U21259
0,1,UP841394,U21259
0,1,UP895885,U21259
0,1,UP895338,U21259
0,1,UP828846,U21259
0,1,UP890233,U21259
0,1,UP885013,U21259
0,1,UP850702,U21259
0,1,UP899924,U21259
0,1,UP894818,U21259
0,1,UP885640,U21259
0,1,UP899802,U21259
0,1,UP879591,U21259
0,1,UP903809,U21259
0,1,UP883548,U21259
0,1,UP883527,U21259
0,1,UP858234,U21259
0,1,UP912289,U21259
0,1,UP853008,U21259
0,1,UP896450,U21259
0,1,UP885642,U21259
0,1,UP896692,U21259
0,1,UP880828,U21259
0,1,UP845480,U21259
0,1,UP904528,U21259
0,1,UP803453,U21259
0,1,UP892865,U21259
0,1,UP894881,U21259
0,1,UP900306,U21259
0,1,UP889961,U21259
0,1,UP900420,U21259
0,1,UP881791,U21259
0,1,UP879816,U21259
0,1,UP909528,U21259
0,1,UP891651,U21259
0,1,UP900822,U21259
0,1,UP852640,U21259
0,1,UP917565,U21259
0,1,UP859505,U21259
0,1,UP897812,U21259
0,1,UP845111,U21259
0,1,UP898793,U21259
0,1,UP837345,U21259
0,1,UP904956,U21259
0,1,UP900360,U21259
0,1,UP819886,U21259
0,1,UP894078,U21259
0,1,UP892483,U21259
0,1,UP896102,U21259
0,1,UP903466,U21259
0,1,UP891550,U21259
0,1,UP901333,U21259
0,1,UP885516,U21259
0,1,UP917082,U21259
0,1,UP904088,U21259
0,1,UP889658,U21259
0,1,UP867388,U21259
0,1,UP883976,U21259
0,1,UP890481,U21259
0,1,UP899161,U21259
0,1,UP869994,U21259
0,1,UP901212,U21259
0,1,UP864663,U21259
0,1,UP911946,U21259
0,1,UP905966,U21259
0,1,UP839664,U21259
0,1,UP895793,U21259
0,1,UP895059,U21259
0,1,UP899251,U21260
0,1,UP904965,U21260
0,1,UP890986,U21260
0,1,UP885188,U21260
0,1,UP837345,U21260
0,1,UP881340,U21260
0,1,UP898860,U21260
0,1,UP853640,U21260
0,1,UP893929,U21260
0,1,UP901482,U21260
0,1,UP896287,U21260
0,1,UP855877,U21260
0,1,UP882732,U21260
0,1,UP845111,U21260
0,1,UP895502,U21260
0,1,UP891153,U21260
0,1,UP896242,U21260
0,1,UP905970,U21260
0,1,UP899802,U21260
0,1,UP900822,U21260
0,1,UP911248,U21260
0,1,UP901100,U21260
0,1,UP811440,U21260
0,1,UP903466,U21260
0,1,UP887875,U21260
0,1,UP897821,U21260
0,1,UP904528,U21260
0,1,UP890233,U21260
0,1,UP901126,U21260
0,1,UP891350,U21260
0,1,UP895249,U21260
0,1,UP902949,U21260
0,1,UP786997,U21260
0,1,UP859505,U21260
0,1,UP914470,U21260
0,1,UP867388,U21260
0,1,UP894074,U21260
0,1,UP891884,U21260
0,1,UP900419,U21260
0,1,UP895129,U21260
0,1,UP914732,U21260
0,1,UP822200,U21260
0,1,UP734426,U21260
0,1,UP889518,U21260
0,1,UP898548,U21260
0,1,UP904981,U21260
0,1,UP901325,U21260
0,1,UP908456,U21260
0,1,UP900263,U21260
0,1,UP896129,U21260
0,1,UP903868,U21260
0,1,UP849028,U21260
0,1,UP901761,U21260
0,1,UP890831,U21260
0,1,UP893940,U21260
0,1,UP885417,U21260
0,1,UP881422,U21260
0,1,UP917082,U21260
0,1,UP879792,U21260
0,1,UP887062,U21260
0,1,UP886472,U21260
0,1,UP891330,U21260
0,1,UP892538,U21260
0,1,UP900947,U21260
0,1,UP902376,U21260
0,1,UP917565,U21260
0,1,UP891155,U21260
0,1,UP846201,U21260
0,1,UP889961,U21260
0,1,UP886226,U21260
0,1,UP899161,U21260
0,1,UP888470,U21260
0,1,UP905851,U21260
0,1,UP917725,U21260
0,1,UP898334,U21260
0,1,UP898147,U21260
0,1,UP904825,U21260
0,1,UP890493,U21260
0,1,UP885000,U21260
0,1,UP881292,U21260
0,1,UP896900,U21260
0,1,UP893788,U21260
0,1,UP901476,U21260
0,1,UP895338,U21260
0,1,UP855611,U21260
0,1,UP879016,U21260
0,1,UP877281,U21260
0,1,UP890760,U21260
0,1,UP897663,U21260
0,1,UP896020,U21260
0,1,UP880932,U21260
0,1,UP899670,U21260
0,1,UP899226,U21260
0,1,UP909201,U21260
0,1,UP895989,U21260
0,1,UP804697,U21260
0,1,UP887192,U21260
0,1,UP897812,U21260
0,1,UP904274,U21260
0,1,UP889823,U21260
0,1,UP901720,U21260
0,1,UP885640,U21260
0,1,UP901253,U21260
0,1,UP895563,U21260
0,1,UP889519,U21260
0,1,UP800002,U21260
0,1,UP895221,U21260
0,1,UP902377,U21260
0,1,UP910486,U21260
0,1,UP862031,U21260
0,1,UP892865,U21260
0,1,UP894039,U21260
0,1,UP891768,U21260
0,1,UP897167,U21260
0,1,UP918289,U21260
0,1,UP900418,U21260
0,1,UP885571,U21260
0,1,UP914354,U21260
0,1,UP821488,U21260
0,1,UP889369,U21260
0,1,UP898356,U21260
0,1,UP904956,U21260
0,1,UP898862,U21260
0,1,UP904749,U21260
0,1,UP898158,U21260
0,1,UP900133,U21260
0,1,UP896106,U21260
0,1,UP903809,U21260
0,1,UP900217,U21260
0,1,UP884575,U21260
0,1,UP893572,U21260
0,1,UP885013,U21260
0,1,UP879907,U21260
0,1,UP916282,U21260
0,1,UP876955,U21260
0,1,UP885709,U21260
0,1,UP827531,U21260
0,1,UP867930,U21260
0,1,UP902795,U21260
0,1,UP892525,U21260
0,1,UP900939,U21260
0,1,UP900479,U21260
0,1,UP917523,U21260
0,1,UP888495,U21260
0,1,UP844808,U21260
0,1,UP890294,U21260
0,1,UP889780,U21260
0,1,UP899044,U21260
0,1,UP885799,U21260
0,1,UP905352,U21260
0,1,UP908383,U21260
0,1,UP884825,U21260
0,1,UP919739,U21260
0,1,UP889198,U21260
0,1,UP897561,U21260
0,1,UP901407,U21260
0,1,UP889549,U21260
0,1,UP883976,U21260
0,1,UP880828,U21260
0,1,UP896779,U21260
0,1,UP893522,U21260
0,1,UP901378,U21260
0,1,UP886790,U21260
0,1,UP855232,U21260
0,1,UP878283,U21260
0,1,UP744872,U21260
0,1,UP890342,U21260
0,1,UP895937,U21260
0,1,UP899549,U21260
0,1,UP898807,U21260
0,1,UP909132,U21260
0,1,UP894248,U21260
0,1,UP803453,U21260
0,1,UP886833,U21260
0,1,UP896522,U21260
0,1,UP904234,U21260
0,1,UP900758,U21260
0,1,UP885638,U21260
0,1,UP906558,U21260
0,1,UP894808,U21260
0,1,UP899908,U21260
0,1,UP886960,U21260
0,1,UP894881,U21260
0,1,UP898927,U21260
0,1,UP902165,U21260
0,1,UP883852,U21260
0,1,UP900426,U21260
0,1,UP861737,U21260
0,1,UP892802,U21260
0,1,UP890420,U21260
0,1,UP891492,U21260
0,1,UP909528,U21260
0,1,UP905969,U21260
0,1,UP900360,U21260
0,1,UP854076,U21260
0,1,UP919029,U21260
0,1,UP912346,U21260
0,1,UP819886,U21260
0,1,UP888588,U21260
0,1,UP898126,U21260
0,1,UP904935,U21260
0,1,UP896763,U21260
0,1,UP902236,U21260
0,1,UP901354,U21260
0,1,UP877496,U21260
0,1,UP899590,U21260
0,1,UP896088,U21260
0,1,UP903749,U21260
0,1,UP882734,U21260
0,1,UP891550,U21260
0,1,UP884253,U21260
0,1,UP892093,U21260
0,1,UP882487,U21260
0,1,UP879811,U21260
0,1,UP905099,U21260
0,1,UP867587,U21260
0,1,UP881739,U21260
0,1,UP892483,U21260
0,1,UP900750,U21260
0,1,UP900264,U21260
0,1,UP916909,U21260
0,1,UP881046,U21260
0,1,UP841394,U21260
0,1,UP866825,U21260
0,1,UP889767,U21260
0,1,UP898978,U21260
0,1,UP905276,U21260
0,1,UP907723,U21260
0,1,UP918968,U21260
0,1,UP904082,U21260
0,1,UP885140,U21260
0,1,UP896958,U21260
