unit_code,coordinator_id,unit_name,short_name,credits,study_level,,,U22338,NOT EXISTS
P22436,A.Paraskelidis,INTERACTION IN COMPUTER SYSTEMS,INCOS,30,FHEQ_7,,,U22338,NOT EXISTS
P22437,P.Hart,INFORMATION SYSTEMS MANAGEMENT,INFMAN,30,FHEQ_7,,,U21278,NOT EXISTS
P22242,A.Bennett,INFORMATION SYSTEMS DEVELOPMENT,INSYD,30,FHEQ_7,,,U21278,NOT EXISTS
U22244,B.Carpenter,MASTERS ENGINEERING PROJECT,PJE60P,60,FHEQ_7,,,U21278,NOT EXISTS
U22245,B.Carpenter,MASTERS STUDY PROJECT,PJS60P,60,FHEQ_7,,,U21278,EXIST
U26153,J.Crellin,COMP TUTORIAL LEVEL 7,U26153,0,FHEQ_7,,,U22389,NOT EXISTS
P22439,P.Hart,WEB DEVELOPMENT,WEBDEV,30,FHEQ_7,,,U21279,NOT EXISTS
U25680*,J.Chlebikova,STUDY ABROAD (MASTERS),U25680*,60,FHEQ_7,,,U21279,EXIST
U23829,N.Bakhshov,COMPUTER ARCHITECTURE,CAR,20,FHEQ_4,,,U22445,NOT EXISTS
U22346,N.Savage,DIGITAL FORENSICS: ART OR SCIENCE?,DFAOS,20,FHEQ_4,,,U21266,EXIST
U21259,M.Venn,INTRODUCTION TO DATABASE DESIGN AND DEVELOPMENT,INDADD,20,FHEQ_4,,,U21266,EXIST
U21261,M.Poole,INTRODUCTION TO PROGRAMMING,INTPROG,40,FHEQ_4,,,U21266,EXIST
U21262,A.Peart,NETWORK FUNDAMENTALS,NETFUN,20,FHEQ_4,,,U22433,EXIST
U22731,N.Bakhshov,COMP TUTORIAL LEVEL 4,U22731,0,FHEQ_4,,,U22433,EXIST
U21260,R.Boakes,WEB FOUNDATIONS 1,WEBF1,20,FHEQ_4,,,U22433,EXIST
U22338,J.Tan,3D COMPUTER GRAPHICS AND ANIMATION,3DCGAA,20,FHEQ_5,,,U22433,EXIST
U21266,J.Tan,ADVANCED PROGRAMMING CONCEPTS,ADPROC,20,FHEQ_5,,,U22433,EXIST
U21268,B.Carpenter,COMPUTER OPERATING SYSTEMS AND INTERMEDIATE NETWORKING,COSINE,20,FHEQ_5,,,U22433,EXIST
U23800,P.Beukman,COMPUTING UNDERGRADUATE AMBASSADOR,CUA,20,FHEQ_5,,,U22433,EXIST
U21269,J.Kopecky,DATABASE PRINCIPLES,DBPRIN,20,FHEQ_5,,,U22433,EXIST
U21270,A.Wilson,DATA STRUCTURES AND ALGORITHMS,DSALG,20,FHEQ_5,,,U21280,EXIST
U21272,M.Dennis,GETTING USABILITY INTO DEVELOPMENT ENVIRONMENTS,GUDE,20,FHEQ_5,,,U21280,NOT EXISTS
U21273,C.Iacob,INTRODUCTION TO SOFTWARE ENGINEERING,INSE,20,FHEQ_5,,,U21280,EXIST
U22342,S.Usher,INFORMATION SYSTEMS AND PROJECT MANAGEMENT,ISPM,20,FHEQ_5,,,U21280,NOT EXISTS
IWLP20,,IWLP - 20 CR - COURSE STRUCTURE PURPOSES ONLY,IWLP20,20,FHEQ_5,,,U21804,EXIST
U21274,J.Chlebikova,DISCRETE MATHEMATICS AND FUNCTIONAL PROGRAMMING,MATHFUN,20,FHEQ_5,,,U21804,EXIST
U22732,D.Zhou,COMP TUTORIAL LEVEL 5,U22732,0,FHEQ_5,,,U21804,EXIST
U21264,R.Boakes,WEB-SCRIPT PROGRAMMING,WEBSCRP,20,FHEQ_5,,,U21804,EXIST
U21279,M.Adda,ADVANCED NETWORKS,ADNET,20,FHEQ_6,,,U22374,EXIST
U23526,J.Tan,APPLIED COMPUTER GRAPHICS AND VISION,AGAV,20,FHEQ_6,,,U23526,EXIST
U21280,I.Jordanov,ADVANCED SOFTWARE ENGINEERING,ASE,20,FHEQ_6,,,U23526,EXIST
U25766,Z.Ju,COMPUTING FOR ROBOTICS,COMROB,20,FHEQ_6,,,U26488,EXIST
U21281,A.Peart,DISTRIBUTED SYSTEMS AND PARALLEL PROGRAMMING,DISPARP,20,FHEQ_6,,,U25157,EXIST
