lecture_weeks - Split 1,lecture_weeks - Split 2,lecture_weeks - Split 3,lecture_weeks - Split 4,lecture_weeks - Split 5,lecture_weeks - Split 6,lecture_weeks - Split 7,lecture_weeks - Split 8,lecture_weeks - Split 9,lecture_weeks - Split 10,lecture_id,unit_code,lecture_start_time,lecture_day,unit_name,lecture_end_time,module_type,lecture_weeks
2,3,4,5,6,8,9,10,11,12,13045,U21270,30/12/1899 13:00:00,Tue,DATA STRUCTURES AND ALGORITHMS,30/12/1899 14:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
2,3,4,5,6,8,9,10,11,12,13046,U21270,30/12/1899 12:00:00,Wed,DATA STRUCTURES AND ALGORITHMS,30/12/1899 13:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
7,,,,,,,,,,13047,U21270,30/12/1899 10:00:00,Mon,DATA STRUCTURES AND ALGORITHMS,30/12/1899 12:00:00,Drop-In,7
7,,,,,,,,,,13048,U21270,30/12/1899 13:00:00,Tue,DATA STRUCTURES AND ALGORITHMS,30/12/1899 15:00:00,Drop-In,7
2,3,4,5,6,8,9,10,11,12,13049,U21269,30/12/1899 15:00:00,Thu,DATABASE PRINCIPLES,30/12/1899 16:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13050,U21269,30/12/1899 15:00:00,Thu,DATABASE PRINCIPLES,30/12/1899 16:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13051,U25159,30/12/1899 16:00:00,Tue,DIGITAL ENTERPRISE AND INNOVATION,30/12/1899 18:00:00,Sem,"2,3,4,5,6,8,9,10,11,12,13"
14,18,,,,,,,,,13052,U25159,30/12/1899 14:00:00,Fri,DIGITAL ENTERPRISE AND INNOVATION,30/12/1899 16:00:00,Sem,"14,18"
15,16,17,19,21,22,23,25,,,13053,U25159,30/12/1899 14:00:00,Fri,DIGITAL ENTERPRISE AND INNOVATION,30/12/1899 16:00:00,Sem,"15,16,17,19,21,22,23,25"
14,15,16,17,18,19,21,22,23,24,13054,U21274,30/12/1899 13:00:00,Tue,DISCRETE MATHEMATICS AND FUNCTIONAL PROGRAMMING,30/12/1899 14:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
14,15,16,17,18,19,21,22,23,24,13055,U21274,30/12/1899 12:00:00,Wed,DISCRETE MATHEMATICS AND FUNCTIONAL PROGRAMMING,30/12/1899 13:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,13056,U23483,30/12/1899 09:00:00,Wed,DISTRIBUTED  AND MOBILE SYSTEMS,30/12/1899 10:00:00,Sem,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13057,U23483,30/12/1899 09:00:00,Wed,DISTRIBUTED  AND MOBILE SYSTEMS,30/12/1899 10:00:00,Pract,"14,15,16,17,18,19,21,22,23,24,25,26"
14,15,16,17,18,19,21,22,23,24,13058,U23483,30/12/1899 16:00:00,Thu,DISTRIBUTED  AND MOBILE SYSTEMS,30/12/1899 17:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
14,15,16,17,18,19,21,22,23,24,13059,U21281,30/12/1899 09:00:00,Wed,DISTRIBUTED SYSTEMS AND PARALLEL PROGRAMMING,30/12/1899 10:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
14,15,16,17,18,19,21,22,23,24,13060,U22375,30/12/1899 09:00:00,Wed,E-COMMERCE - A CRITICAL EVALUATION OF TECHNOLOGY (DL),30/12/1899 12:00:00,DL,"14,15,16,17,18,19,21,22,23,24,25,26"
2,4,6,9,11,13,,,,,13061,U21283,30/12/1899 10:00:00,Wed,EDUCATIONAL COMPUTING,30/12/1899 11:00:00,Lect,"2,4,6,9,11,13"
3,5,8,10,12,,,,,,13062,U21283,30/12/1899 10:00:00,Wed,EDUCATIONAL COMPUTING,30/12/1899 12:00:00,Pract,"3,5,8,10,12"
14,16,18,21,23,25,,,,,13063,U21283,30/12/1899 10:00:00,Wed,EDUCATIONAL COMPUTING,30/12/1899 12:00:00,Pract,"14,16,18,21,23,25"
15,17,19,22,24,26,,,,,13064,U21283,30/12/1899 10:00:00,Wed,EDUCATIONAL COMPUTING,30/12/1899 11:00:00,Lect,"15,17,19,22,24,26"
26,,,,,,,,,,13065,U21283,30/12/1899 09:00:00,Fri,EDUCATIONAL COMPUTING,30/12/1899 12:55:00,Work,26
26,,,,,,,,,,13066,U21283,30/12/1899 13:00:00,Fri,EDUCATIONAL COMPUTING,30/12/1899 15:00:00,Work,26
