Monday,24,September,2018,2
Tuesday,25,September,2018,2
Wednesday,26,September,2018,2
Thursday,27,September,2018,2
Friday,28,September,2018,2
Monday,1,October,2018,3
Tuesday,2,October,2018,3
Wednesday,3,October,2018,3
Thursday,4,October,2018,3
Friday,5,October,2018,3
Monday,8,October,2018,4
Tuesday,9,October,2018,4
Wednesday,10,October,2018,4
Thursday,11,October,2018,4
Friday,12,October,2018,4
Monday,15,October,2018,5
Tuesday,16,October,2018,5
Wednesday,17,October,2018,5
Thursday,18,October,2018,5
Friday,19,October,2018,5
Monday,22,October,2018,6
Tuesday,23,October,2018,6
Wednesday,24,October,2018,6
Thursday,25,October,2018,6
Friday,26,October,2018,6
Monday,29,October,2018,7
Tuesday,30,October,2018,7
Wednesday,31,October,2018,7
Thursday,1,November,2018,7
Friday,2,November,2018,7
Monday,5,November,2018,8
Tuesday,6,November,2018,8
Wednesday,7,November,2018,8
Thursday,8,November,2018,8
Friday,9,November,2018,8
Monday,12,November,2018,9
Tuesday,13,November,2018,9
Wednesday,14,November,2018,9
Thursday,15,November,2018,9
Friday,16,November,2018,9
Monday,19,November,2018,10
Tuesday,20,November,2018,10
Wednesday,21,November,2018,10
Thursday,22,November,2018,10
Friday,23,November,2018,10
Monday,26,November,2018,11
Tuesday,27,November,2018,11
Wednesday,28,November,2018,11
Thursday,29,November,2018,11
Friday,30,November,2018,11
Monday,3,December,2018,12
Tuesday,4,December,2018,12
Wednesday,5,December,2018,12
Thursday,6,December,2018,12
Friday,7,December,2018,12
Monday,10,December,2018,13
Tuesday,11,December,2018,13
Wednesday,12,December,2018,13
Thursday,13,December,2018,13
Friday,14,December,2018,13
Monday,17,December,2018,14
Tuesday,18,December,2018,14
Wednesday,19,December,2018,14
Thursday,20,December,2018,14
Friday,21,December,2018,14
Monday,24,December,2018,15
Tuesday,25,December,2018,15
Wednesday,26,December,2018,15
Thursday,27,December,2018,15
Friday,28,December,2018,15
Monday,31,December,2018,16
Tuesday,1,January,2018,16
Wednesday,2,January,2018,16
Thursday,3,January,2018,16
Friday,4,January,2018,16
Monday,7,January,2019,17
Tuesday,8,January,2019,17
Wednesday,9,January,2019,17
Thursday,10,January,2019,17
Friday,11,January,2019,17
Monday,14,January,2019,18
Tuesday,15,January,2019,18
Wednesday,16,January,2019,18
Thursday,17,January,2019,18
Friday,18,January,2019,18
Monday,21,January,2019,19
Tuesday,22,January,2019,19
Wednesday,23,January,2019,19
Thursday,24,January,2019,19
Friday,25,January,2019,19
Monday,28,January,2019,20
Tuesday,29,January,2019,20
Wednesday,30,January,2019,20
Thursday,31,January,2019,20
Friday,1,February,2019,20
Monday,4,February,2019,21
Tuesday,5,February,2019,21
Wednesday,6,February,2019,21
Thursday,7,February,2019,21
Friday,8,February,2019,21
Monday,11,February,2019,22
Tuesday,12,February,2019,22
Wednesday,13,February,2019,22
Thursday,14,February,2019,22
Friday,15,February,2019,22
Monday,18,February,2019,23
Tuesday,19,February,2019,23
Wednesday,20,February,2019,23
Thursday,21,February,2019,23
Friday,22,February,2019,23
Monday,25,February,2019,24
Tuesday,26,February,2019,24
Wednesday,27,February,2019,24
Thursday,28,February,2019,24
Friday,1,March,2019,24
Monday,4,March,2019,25
Tuesday,5,March,2019,25
Wednesday,6,March,2019,25
Thursday,7,March,2019,25
Friday,8,March,2019,25
Monday,11,March,2019,26
Tuesday,12,March,2019,26
Wednesday,13,March,2019,26
Thursday,14,March,2019,26
Friday,15,March,2019,26
Monday,18,March,2019,27
Tuesday,19,March,2019,27
Wednesday,20,March,2019,27
Thursday,21,March,2019,27
Friday,22,March,2019,27
Monday,25,March,2019,28
Tuesday,26,March,2019,28
Wednesday,27,March,2019,28
Thursday,28,March,2019,28
Friday,29,March,2019,28
Monday,1,April,2019,29
Tuesday,2,April,2019,29
Wednesday,3,April,2019,29
Thursday,4,April,2019,29
Friday,5,April,2019,29
Monday,8,April,2019,30
Tuesday,9,April,2019,30
Wednesday,10,April,2019,30
Thursday,11,April,2019,30
Friday,12,April,2019,30
Monday,15,April,2019,31
Tuesday,16,April,2019,31
Wednesday,17,April,2019,31
Thursday,18,April,2019,31
Friday,19,April,2019,31
Monday,22,April,2019,32
Tuesday,23,April,2019,32
Wednesday,24,April,2019,32
Thursday,25,April,2019,32
Friday,26,April,2019,32
Monday,29,April,2019,33
Tuesday,30,April,2019,33
Wednesday,1,May,2019,33
Thursday,2,May,2019,33
Friday,3,May,2019,33
Monday,6,May,2019,34
Tuesday,7,May,2019,34
Wednesday,8,May,2019,34
Thursday,9,May,2019,34
Friday,10,May,2019,34
Monday,13,May,2019,35
Tuesday,14,May,2019,35
Wednesday,15,May,2019,35
Thursday,16,May,2019,35
Friday,17,May,2019,35
Monday,20,May,2019,36
Tuesday,21,May,2019,36
Wednesday,22,May,2019,36
Thursday,23,May,2019,36
Friday,24,May,2019,36
Monday,27,May,2019,37
Tuesday,28,May,2019,37
Wednesday,29,May,2019,37
Thursday,30,May,2019,37
Friday,31,May,2019,37
Monday,3,June,2019,38
Tuesday,4,June,2019,38
Wednesday,5,June,2019,38
Thursday,6,June,2019,38
Friday,7,June,2019,38
Monday,10,June,2019,39
Tuesday,11,June,2019,39
Wednesday,12,June,2019,39
Thursday,13,June,2019,39
Friday,14,June,2019,39
Monday,17,June,2019,40
Tuesday,18,June,2019,40
Wednesday,19,June,2019,40
Thursday,20,June,2019,40
Friday,21,June,2019,40
Monday,24,June,2019,41
Tuesday,25,June,2019,41
Wednesday,26,June,2019,41
Thursday,27,June,2019,41
Friday,28,June,2019,41
