Postcodes,Latitude,Longitude
PO1 2QZ,50.793827,-1.095556
PO1 2RG,50.792207,-1.095645
PO1 2RH,50.791418,-1.101575
PO1 2RQ,50.792091,-1.095632
PO1 2RR,50.79221,-1.104172
PO1 2RY,50.796323,-1.092826
PO1 2SG,50.795239,-1.094436
PO1 2SN,50.795301,-1.094307
PO1 2SP,50.796337,-1.091151
PO1 2SX,50.791157,-1.102687
PO1 2TB,50.789191,-1.09739
PO1 2TD,50.790502,-1.097053
PO1 2TE,50.790442,-1.097522
PO1 2TF,50.789175,-1.09993
PO1 2TG,50.79024,-1.098051
PO1 2TJ,50.78968,-1.104801
PO1 2TL,50.790832,-1.101402
PO1 2TN,50.790893,-1.096435
PO1 2TP,50.790989,-1.105628
PO1 2TQ,50.790324,-1.098504
PO1 2TT,50.790869,-1.10614
PO1 2TU,50.791008,-1.100846
PO1 2TW,50.790893,-1.096435
PO1 2TX,50.790391,-1.105965
PO1 2TY,50.789998,-1.106313
PO1 2TZ,50.790341,-1.106505
PO1 2UT,50.792445,-1.103017
PO1 3AB,50.799288,-1.098246
PO1 3AJ,50.798204,-1.100155
PO1 3AL,50.799427,-1.098811
PO1 3AN,50.799546,-1.099107
PO1 3AP,50.799441,-1.099449
PO1 3AR,50.79715,-1.103239
PO1 3AU,50.79707,-1.10239
PO1 3AW,50.799186,-1.099043
PO1 3AY,50.797446,-1.102213
PO1 3AZ,50.7973,-1.102882
PO1 3BA,50.796597,-1.102654
PO1 3BB,50.796911,-1.103684
PO1 3BD,50.796911,-1.103684
PO1 3BE,50.796881,-1.104536
PO1 3BF,50.794016,-1.106123
PO1 3BG,50.794634,-1.105785
PO1 3BH,50.796918,-1.101073
PO1 3BL,50.797293,-1.103379
PO1 3BP,50.794852,-1.104929
PO1 3BQ,50.794929,-1.104374
PO1 3BS,50.798456,-1.100007
PO1 3BU,50.798302,-1.10106
PO1 3BW,50.798677,-1.104189
PO1 3BX,50.797853,-1.102261
PO1 3BZ,50.798851,-1.102284
PO1 3DA,50.798926,-1.101389
PO1 3DF,50.799073,-1.101826
PO1 3DG,50.798713,-1.101805
PO1 3DN,50.796835,-1.104338
PO1 3DP,50.797006,-1.104363
PO1 3DQ,50.798344,-1.101783
PO1 3DR,50.797223,-1.104472
PO1 3DS,50.79838,-1.106451
PO1 3DT,50.797954,-1.10609
PO1 3EF,50.799052,-1.106197
PO1 3EG,50.797726,-1.105783
PO1 3EH,50.798793,-1.105194
PO1 3EJ,50.799098,-1.105346
PO1 3EL,50.798122,-1.104455
PO1 3EN,50.798418,-1.104407
PO1 3EP,50.798267,-1.105772
PO1 3ER,50.798293,-1.105715
PO1 3ET,50.79469,-1.103797
PO1 3EW,50.798672,-1.104672
PO1 3FE,50.798405,-1.100391
PO1 3FF,50.798725,-1.099874
PO1 3FG,50.798694,-1.10057
PO1 3FJ,50.798145,-1.101688
PO1 3FL,50.801765,-1.102314
PO1 3FN,50.801016,-1.104272
PO1 3FP,50.800019,-1.10449
PO1 3FR,50.795434,-1.103485
PO1 3FS,50.795434,-1.103485
PO1 3FY,50.799384,-1.101352
PO1 3GA,50.799856,-1.104308
PO1 3GB,50.799979,-1.103852
PO1 3GD,50.799975,-1.10337
PO1 3GE,50.800217,-1.103322
PO1 3GF,50.800442,-1.10329
PO1 3GG,50.800685,-1.103271
PO1 3GH,50.800918,-1.103252
PO1 3GJ,50.801152,-1.103234
PO1 3GL,50.801413,-1.103243
